Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
688,Dan Campbell\CampDa00,2003,27,3-79,DAL,NFL,16,16,30,20,195,9.75,1,12.2,66.7%,6.50
689,John Davis\DaviJo00,2002,29,5-2,CHI,NFL,10,8,33,20,193,9.65,3,19.3,60.6%,5.85
690,Vernon Davis\DaviVe00,2006,22,1-6,SFO,NFL,10,8,42,20,265,13.25,3,26.5,47.6%,6.31
691,Justin Forsett\ForsJu00,2016,31,7-233,3TM,NFL,9,6,27,20,85,4.25,0,9.4,74.1%,3.15
692,Ryan Griffin\GrifRy00,2015,25,6-201,HOU,NFL,9,4,34,20,251,12.55,2,27.9,58.8%,7.38
693,Terry Jones\JoneTe00,2004,25,5-155,BAL,NFL,15,11,29,20,152,7.60,1,10.1,69.0%,5.24
694,Reggie Kelly\KellRe00,2007,30,2-42,CIN,NFL,15,15,27,20,211,10.55,0,14.1,74.1%,7.81
695,Joe Klopfenstein\KlopJo00,2006,23,2-46,STL,NFL,16,16,34,20,226,11.30,1,14.1,58.8%,6.65
696,Marcedes Lewis\LewiMa00,2016,32,1-28,JAX,NFL,10,10,30,20,169,8.45,1,16.9,66.7%,5.63
697,Randy McMichael\McMiRa01,2010,31,4-114,SDG,NFL,16,11,27,20,221,11.05,2,13.8,74.1%,8.19
698,Zach Miller\MillZa02,2017,33,6-180,CHI,NFL,8,6,35,20,236,11.80,2,29.5,57.1%,6.74
699,Zach Miller\MillZa02,2010,26,6-180,JAX,NFL,15,5,26,20,216,10.80,1,14.4,76.9%,8.31
700,Dennis Pitta\PittDe00,2013,28,4-114,BAL,NFL,4,1,33,20,169,8.45,1,42.3,60.6%,5.12
701,Leonard Pope\PopeLe00,2009,26,3-72,KAN,NFL,13,8,30,20,174,8.70,1,13.4,66.7%,5.80
702,Richard Rodgers\RodgRi00,2014,22,3-98,GNB,NFL,16,5,30,20,225,11.25,2,14.1,66.7%,7.50
703,Mike Sellers\SellMi00,2010,35,,WAS,NFL,16,8,40,20,224,11.20,0,14.0,50.0%,5.60
704,Jacob Tamme\TammJa00,2013,28,4-127,DEN,NFL,16,1,25,20,184,9.20,1,11.5,80.0%,7.36
705,Wesley Walls\WallWe00,2003,37,2-56,GNB,NFL,14,1,33,20,222,11.10,1,15.9,60.6%,6.73
706,Ben Watson\WatsBe00,2014,34,1-32,NOR,NFL,16,8,31,20,136,6.80,2,8.5,64.5%,4.39
707,Daniel Wilcox\WilcDa01,2005,28,,BAL,NFL,13,3,28,20,154,7.70,1,11.8,71.4%,5.50
708,Daniel Wilcox\WilcDa01,2006,29,,BAL,NFL,14,6,27,20,166,8.30,3,11.9,74.1%,6.15
709,Boo Williams\WillBo00,2001,22,,NOR,NFL,11,4,42,20,202,10.10,3,18.4,47.6%,4.81
710,Luke Willson\WillLu00,2013,23,5-158,SEA,NFL,16,7,28,20,272,13.60,1,17.0,71.4%,9.71
711,Steve Bush\BushSt00,2002,28,,ARI,NFL,16,12,27,19,121,6.37,1,7.6,70.4%,4.48
712,Mark Campbell\CampMa00,2005,30,,BUF,NFL,14,10,29,19,139,7.32,0,9.9,65.5%,4.79
713,Garrett Celek\CeleGa00,2015,27,,SFO,NFL,11,8,28,19,186,9.79,3,16.9,67.9%,6.64
714,Desmond Clark\ClarDe00,2009,32,6-179,CHI,NFL,11,7,34,19,145,7.63,2,13.2,55.9%,4.26
715,Charles Clay\ClayCh00,2018,29,6-174,BUF,NFL,8,7,31,19,169,8.89,0,21.1,61.3%,5.45
716,Kellen Davis\DaviKe01,2012,27,5-158,CHI,NFL,16,15,44,19,229,12.05,2,14.3,43.2%,5.20
717,Tyrone Davis\DaviTy00,2000,28,4-107,GNB,NFL,14,9,40,19,177,9.32,2,12.6,47.5%,4.43
718,Rhett Ellison\ElliRh00,2014,26,4-128,MIN,NFL,16,13,26,19,208,10.95,1,13.0,73.1%,8.00
719,Daniel Fells\FellDa00,2011,28,,DEN,NFL,16,15,31,19,256,13.47,3,16.0,61.3%,8.26
720,Ladarius Green\GreeLa00,2014,24,4-110,SDG,NFL,14,4,25,19,226,11.89,0,16.1,76.0%,9.04
721,Ryan Griffin\GrifRy00,2013,23,6-201,HOU,NFL,15,8,28,19,244,12.84,1,16.3,67.9%,8.71
722,Joey Haynos\HaynJo00,2009,25,,MIA,NFL,16,8,37,19,162,8.53,2,10.1,51.4%,4.38
723,Austin Hooper\HoopAu00,2016,22,3-81,ATL,NFL,14,3,27,19,271,14.26,3,19.4,70.4%,10.04
724,Jesse James\JameJe00,2018,24,5-160,PIT,NFL,7,4,24,19,283,14.89,1,40.4,79.2%,11.79
725,Terry Jones\JoneTe00,2003,24,5-155,BAL,NFL,16,13,25,19,159,8.37,3,9.9,76.0%,6.36
726,Jeff King\KingJe00,2010,27,5-155,CAR,NFL,16,16,32,19,121,6.37,2,7.6,59.4%,3.78
727,Erron Kinney\KinnEr00,2000,23,3-68,TEN,NFL,16,9,35,19,197,10.37,1,12.3,54.3%,5.63
728,Ben Koyack\KoyaBe00,2016,23,7-229,JAX,NFL,14,7,24,19,161,8.47,1,11.5,79.2%,6.71
729,Kris Mangum\MangKr00,2000,27,7-228,CAR,NFL,15,7,31,19,215,11.32,1,14.3,61.3%,6.94
730,Stanley Pritchett\PritSt00,2002,29,4-118,CHI,NFL,16,2,27,19,165,8.68,1,10.3,70.4%,6.11
731,Gijon Robinson\RobiGi21,2008,24,,IND,NFL,15,14,24,19,166,8.74,0,11.1,79.2%,6.92
732,Ricky Seals-Jones\SealRi00,2018,23,,ARI,NFL,8,5,39,19,216,11.37,1,27.0,48.7%,5.54
733,Geoff Swaim\SwaiGe00,2018,25,7-246,DAL,NFL,7,7,24,19,205,10.79,1,29.3,79.2%,8.54
734,Jacob Tamme\TammJa00,2011,26,4-127,IND,NFL,16,5,31,19,177,9.32,1,11.1,61.3%,5.71
735,Delanie Walker\WalkHu00,2011,27,6-175,SFO,NFL,15,7,35,19,198,10.42,3,13.2,54.3%,5.66
736,Wesley Walls\WallWe00,2002,36,2-56,CAR,NFL,15,14,36,19,241,12.68,4,16.1,52.8%,6.69
737,Ben Watson\WatsBe00,2013,33,1-32,NOR,NFL,15,7,30,19,226,11.89,2,15.1,63.3%,7.53
738,Stephen Alexander\AlexSt00,2006,31,2-48,DEN,NFL,16,14,35,18,160,8.89,2,10.0,51.4%,4.57
739,Mike Anderson\AndeMi00,2002,29,6-189,DEN,NFL,15,12,24,18,167,9.28,2,11.1,75.0%,6.96
740,Mark Andrews\AndrMa00,2018,22,,BAL,NFL,8,2,26,18,194,10.78,2,24.3,69.2%,7.46
741,Chris Baker\BakeCh00,2004,25,3-88,NYJ,NFL,16,0,29,18,182,10.11,4,11.4,62.1%,6.28
742,Chris Baker\BakeCh00,2005,26,3-88,NYJ,NFL,8,8,25,18,269,14.94,1,33.6,72.0%,10.76
743,Anthony Becht\BechAn00,2006,29,1-27,TAM,NFL,16,16,26,18,115,6.39,1,7.2,69.2%,4.42
744,Nick Boyle\BoylNi00,2015,22,5-171,BAL,NFL,11,2,23,18,153,8.50,0,13.9,78.3%,6.65
745,Kyle Brady\BradKy00,2005,33,1-9,JAX,NFL,16,14,26,18,157,8.72,1,9.8,69.2%,6.04
746,Mark Campbell\CampMa00,2006,31,,NOR,NFL,14,10,29,18,164,9.11,0,11.7,62.1%,5.66
747,Charles Clay\ClayCh00,2012,23,6-174,MIA,NFL,14,9,33,18,212,11.78,2,15.1,54.5%,6.42
