Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
966,Robert Woods\WoodRo02,2015,23,2-41,BUF,NFL,14,9,80,47,552,11.74,3,39.4,58.8%,6.90
967,Drew Bennett\BennDr00,2006,28,,TEN,NFL,16,15,98,46,737,16.02,3,46.1,46.9%,7.52
968,Earl Bennett\BennEa00,2010,23,3-70,CHI,NFL,14,3,71,46,561,12.20,3,40.1,64.8%,7.90
969,Antonio Brown\BrowAn04,2018,30,6-195,PIT,NFL,7,7,80,46,552,12.00,8,78.9,57.5%,6.90
970,Reggie Brown\BrowRe01,2006,25,2-35,PHI,NFL,16,15,88,46,816,17.74,8,51.0,52.3%,9.27
971,Curtis Conway\ConwCu00,2003,32,1-7,NYJ,NFL,16,15,102,46,640,13.91,2,40.0,45.1%,6.27
972,Jerricho Cotchery\CotcJe00,2013,31,4-108,PIT,NFL,16,6,76,46,602,13.09,10,37.6,60.5%,7.92
973,Mike Evans\EvanMi00,2018,25,1-7,TAM,NFL,7,7,68,46,770,16.74,4,110.0,67.6%,11.32
974,Antonio Freeman\FreeAn00,2002,30,3-90,PHI,NFL,16,1,80,46,600,13.04,4,37.5,57.5%,7.50
975,Rod Gardner\GardRo00,2001,24,1-15,WAS,NFL,16,16,101,46,741,16.11,4,46.3,45.5%,7.34
976,Brian Hartline\HartBr00,2015,29,4-108,CLE,NFL,12,4,77,46,523,11.37,2,43.6,59.7%,6.79
977,Darrell Jackson\JackDa00,2007,29,3-80,SFO,NFL,15,15,104,46,497,10.80,3,33.1,44.2%,4.78
978,Fred Jackson\JackFr02,2009,28,,BUF,NFL,16,11,61,46,371,8.07,2,23.2,75.4%,6.08
979,Bryant Johnson\JohnBr02,2007,26,1-17,ARI,NFL,16,8,88,46,528,11.48,2,33.0,52.3%,6.00
980,Dexter McCluster\McClDe00,2011,22,2-36,KAN,NFL,16,4,64,46,328,7.13,1,20.5,71.9%,5.13
981,Shaun McDonald\McDoSh00,2005,24,4-106,STL,NFL,16,2,74,46,523,11.37,0,32.7,62.2%,7.07
982,Denarius Moore\MoorDe02,2013,25,5-148,OAK,NFL,13,10,86,46,695,15.11,5,53.5,53.5%,8.08
983,Santana Moss\MossSa00,2011,32,1-16,WAS,NFL,12,12,95,46,584,12.70,4,48.7,48.4%,6.15
984,Steve Smith\SmitSt01,2010,31,3-74,CAR,NFL,14,14,100,46,554,12.04,2,39.6,46.0%,5.54
985,Steve Smith\SmitSt01,2015,36,3-74,BAL,NFL,7,7,73,46,670,14.57,3,95.7,63.0%,9.18
986,JuJu Smith-Schuster\SmitJu00,2018,22,2-62,PIT,NFL,7,5,69,46,594,12.91,2,84.9,66.7%,8.61
987,Donte' Stallworth\StalDo00,2007,27,1-13,NWE,NFL,16,9,75,46,697,15.15,3,43.6,61.3%,9.29
