Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G
1278,Cory Schlesinger\SchlCo00,2002,30,6-192,DET,NFL,16,14,49,139,2.84,2,8.7
1279,T.J. Yeldon\YeldT.00,2017,24,2-36,JAX,NFL,10,0,49,253,5.16,2,25.3
1280,Zack Crockett\CrocZa00,2003,31,3-79,OAK,NFL,16,7,48,145,3.02,7,9.1
1281,Zack Crockett\CrocZa00,2004,32,3-79,OAK,NFL,16,9,48,232,4.83,2,14.5
1282,DuJuan Harris\HarrDu01,2015,27,,2TM,NFL,4,1,48,189,3.94,0,47.3
1283,Noah Herron\HerrNo00,2005,23,7-244,2TM,NFL,7,0,48,123,2.56,2,17.6
1284,Felix Jones\JoneFe00,2013,26,1-22,PIT,NFL,16,2,48,184,3.83,0,11.5
1285,Chad Morton\MortCh00,2003,26,5-166,WAS,NFL,15,2,48,216,4.50,0,14.4
1286,Darren Sproles\SproDa00,2012,29,4-130,NOR,NFL,13,6,48,244,5.08,1,18.8
1287,Jonathan Stewart\StewJo00,2013,26,1-13,CAR,NFL,6,1,48,180,3.75,0,30.0
1288,James White\WhitJa02,2018,26,4-130,NWE,NFL,8,1,48,204,4.25,2,25.5
1289,Ricky Williams\WillRi01,2003,25,,IND,NFL,13,4,48,155,3.23,2,11.9
1290,Mike Bell\BellMi00,2010,27,,2TM,NFL,16,1,47,99,2.11,0,6.2
1291,Tashard Choice\ChoiTa00,2012,28,4-122,BUF,NFL,12,0,47,193,4.11,1,16.1
1292,Benny Cunningham\CunnBe01,2013,23,,STL,NFL,14,0,47,261,5.55,1,18.6
1293,Austin Ekeler\EkelAu00,2017,22,,LAC,NFL,16,0,47,260,5.53,2,16.3
1294,Mike Gillislee\GillMi00,2015,25,5-164,BUF,NFL,5,1,47,267,5.68,3,53.4
1295,Robert Holcombe\HolcRo00,2002,27,2-37,TEN,NFL,8,0,47,242,5.15,0,30.3
1296,Brian Leonard\LeonBr00,2013,29,2-52,TAM,NFL,16,1,47,182,3.87,0,11.4
1297,Bishop Sankey\SankBi00,2015,23,2-54,TEN,NFL,13,3,47,193,4.11,1,14.8
1298,Cory Schlesinger\SchlCo00,2001,29,6-192,DET,NFL,16,13,47,154,3.28,3,9.6
1299,Wendell Smallwood\SmalWe00,2017,23,5-153,PHI,NFL,8,3,47,174,3.70,1,21.8
1300,Robert Turbin\TurbRo00,2016,27,4-106,IND,NFL,15,0,47,164,3.49,7,10.9
