Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,name,key,Round,Pick,ageGroup
162,Frank Gore\GoreFr00,2013,30,3-65,SFO,NFL,16,16,276,1128,4.09,9,70.5,Frank Gore,FrankGore30SFO2013,3,142,29-32
163,Shonn Greene\GreeSh00,2012,27,3-65,NYJ,NFL,16,14,276,1063,3.85,8,66.4,Shonn Greene,ShonnGreene27NYJ2012,3,142,25-28
164,Jordan Howard\HowaJo00,2017,23,5-150,CHI,NFL,16,16,276,1122,4.07,9,70.1,Jordan Howard,JordanHoward23CHI2017,5,46,< 24
165,Chris Johnson\JohnCh04,2012,27,1-24,TEN,NFL,16,15,276,1243,4.5,6,77.7,Chris Johnson,ChrisJohnson27TEN2012,1,96,25-28
166,Alfred Morris\MorrAl00,2013,25,6-173,WAS,NFL,16,16,276,1275,4.62,7,79.7,Alfred Morris,AlfredMorris25WAS2013,6,59,25-28
167,Reuben Droughns\DrouRe00,2004,26,3-81,DEN,NFL,16,15,275,1240,4.51,6,77.5,Reuben Droughns,ReubenDroughns26DEN2004,3,155,25-28
168,Troy Hambrick\HambTr00,2003,27,NA,DAL,NFL,16,16,275,972,3.53,5,60.8,Troy Hambrick,TroyHambrick27DAL2003,Undrafted,Undrafted,25-28
169,Cedric Benson\BensCe00,2011,29,1-4,CIN,NFL,15,15,273,1067,3.91,6,71.1,Cedric Benson,CedricBenson29CIN2011,1,118,29-32
170,LeSean McCoy\McCoLe01,2011,23,2-53,PHI,NFL,15,15,273,1309,4.79,17,87.3,LeSean McCoy,LeSeanMcCoy23PHI2011,2,130,< 24
171,Clinton Portis\PortCl00,2002,21,2-51,DEN,NFL,16,12,273,1508,5.52,15,94.3,Clinton Portis,ClintonPortis21DEN2002,2,128,< 24
172,DeAngelo Williams\WillDe02,2008,25,1-27,CAR,NFL,16,16,273,1515,5.55,18,94.7,DeAngelo Williams,DeAngeloWilliams25CAR2008,1,106,25-28
173,Kareem Hunt\HuntKa00,2017,22,3-86,KAN,NFL,16,16,272,1327,4.88,8,82.9,Kareem Hunt,KareemHunt22KAN2017,3,159,< 24
174,LaMont Jordan\JordLa00,2005,27,2-49,OAK,NFL,14,14,272,1025,3.77,9,73.2,LaMont Jordan,LaMontJordan27OAK2005,2,126,25-28
175,Travis Henry\HenrTr00,2006,28,2-58,TEN,NFL,14,13,270,1211,4.49,7,86.5,Travis Henry,TravisHenry28TEN2006,2,135,25-28
176,Peyton Hillis\HillPe00,2010,24,7-227,CLE,NFL,16,14,270,1177,4.36,11,73.6,Peyton Hillis,PeytonHillis24CLE2010,7,87,< 24
177,Jamal Lewis\LewiJa00,2005,26,1-5,BAL,NFL,15,15,269,906,3.37,3,60.4,Jamal Lewis,JamalLewis26BAL2005,1,127,25-28
178,Deuce McAllister\McAlDe00,2004,26,1-23,NOR,NFL,14,14,269,1074,3.99,9,76.7,Deuce McAllister,DeuceMcAllister26NOR2004,1,90,25-28
179,Duce Staley\StalDu00,2002,27,3-71,PHI,NFL,16,16,269,1029,3.83,5,64.3,Duce Staley,DuceStaley27PHI2002,3,146,25-28
180,Leonard Fournette\FourLe00,2017,22,1-4,JAX,NFL,13,13,268,1040,3.88,9,80,Leonard Fournette,LeonardFournette22JAX2017,1,118,< 24
181,Lamar Miller\MillLa01,2016,25,4-97,HOU,NFL,14,14,268,1073,4,5,76.6,Lamar Miller,LamarMiller25HOU2016,4,168,25-28
182,Steve Slaton\SlatSt00,2008,22,3-89,HOU,NFL,16,15,268,1282,4.78,9,80.1,Steve Slaton,SteveSlaton22HOU2008,3,161,< 24
183,Julius Jones\JoneJu01,2006,25,2-43,DAL,NFL,16,16,267,1084,4.06,4,67.8,Julius Jones,JuliusJones25DAL2006,2,121,25-28
184,Trent Richardson\RichTr00,2012,22,1-3,CLE,NFL,15,15,267,950,3.56,11,63.3,Trent Richardson,TrentRichardson22CLE2012,1,108,< 24
185,Emmitt Smith*\SmitEm00,2004,35,1-17,ARI,NFL,15,15,267,937,3.51,9,62.5,Emmitt Smith*,EmmittSmith*35ARI2004,1,56,32+
186,Matt Forte\FortMa00,2014,29,2-44,CHI,NFL,16,16,266,1038,3.9,6,64.9,Matt Forte,MattForte29CHI2014,2,122,29-32
187,Ahman Green\GreeAh00,2006,29,3-76,GNB,NFL,14,14,266,1059,3.98,5,75.6,Ahman Green,AhmanGreen29GNB2006,3,150,29-32
188,Latavius Murray\MurrLa00,2015,25,6-181,OAK,NFL,16,16,266,1066,4.01,6,66.6,Latavius Murray,LataviusMurray25OAK2015,6,65,25-28
189,Warrick Dunn\DunnWa00,2004,29,1-12,ATL,NFL,16,16,265,1106,4.17,9,69.1,Warrick Dunn,WarrickDunn29ATL2004,1,22,29-32
190,Devonta Freeman\FreeDe00,2015,23,4-103,ATL,NFL,15,13,265,1056,3.98,11,70.4,Devonta Freeman,DevontaFreeman23ATL2015,4,6,< 24
191,Alfred Morris\MorrAl00,2014,26,6-173,WAS,NFL,16,16,265,1074,4.05,8,67.1,Alfred Morris,AlfredMorris26WAS2014,6,59,25-28
192,Frank Gore\GoreFr00,2016,33,3-65,IND,NFL,16,16,263,1025,3.9,4,64.1,Frank Gore,FrankGore33IND2016,3,142,32+
193,Ahman Green\GreeAh00,2000,23,3-76,GNB,NFL,16,11,263,1175,4.47,10,73.4,Ahman Green,AhmanGreen23GNB2000,3,150,< 24
194,Chris Johnson\JohnCh04,2011,26,1-24,TEN,NFL,16,16,262,1047,4,4,65.4,Chris Johnson,ChrisJohnson26TEN2011,1,96,25-28
195,Joseph Addai\AddaJo00,2007,24,1-30,IND,NFL,15,15,261,1072,4.11,12,71.5,Joseph Addai,JosephAddai24IND2007,1,109,< 24
196,Le'Veon Bell\BellLe00,2016,24,2-48,PIT,NFL,12,12,261,1268,4.86,7,105.7,Le'Veon Bell,Le'VeonBell24PIT2016,2,125,< 24
197,Frank Gore\GoreFr00,2017,34,3-65,IND,NFL,16,16,261,961,3.68,3,60.1,Frank Gore,FrankGore34IND2017,3,142,32+
198,Curtis Martin*\MartCu00,2002,29,3-74,NYJ,NFL,16,16,261,1094,4.19,7,68.4,Curtis Martin*,CurtisMartin*29NYJ2002,3,148,29-32
199,Emmitt Smith*\SmitEm00,2001,32,1-17,DAL,NFL,14,14,261,1021,3.91,3,72.9,Emmitt Smith*,EmmittSmith*32DAL2001,1,56,29-32
200,Jay Ajayi\AjayJa00,2016,23,5-149,MIA,NFL,15,12,260,1272,4.89,8,84.8,Jay Ajayi,JayAjayi23MIA2016,5,44,< 24
201,Marshall Faulk*\FaulMa00,2001,28,1-2,STL,NFL,14,14,260,1382,5.32,12,98.7,Marshall Faulk*,MarshallFaulk*28STL2001,1,79,25-28
202,Arian Foster\FostAr00,2014,28,NA,HOU,NFL,13,13,260,1246,4.79,8,95.8,Arian Foster,ArianFoster28HOU2014,Undrafted,Undrafted,25-28
203,Frank Gore\GoreFr00,2007,24,3-65,SFO,NFL,15,15,260,1102,4.24,5,73.5,Frank Gore,FrankGore24SFO2007,3,142,< 24
204,Frank Gore\GoreFr00,2015,32,3-65,IND,NFL,16,16,260,967,3.72,6,60.4,Frank Gore,FrankGore32IND2015,3,142,29-32
205,Steven Jackson\JackSt00,2011,28,1-24,STL,NFL,15,15,260,1145,4.4,5,76.3,Steven Jackson,StevenJackson28STL2011,1,96,25-28
206,Fred Taylor\TaylFr00,2004,28,1-9,JAX,NFL,14,14,260,1224,4.71,2,87.4,Fred Taylor,FredTaylor28JAX2004,1,162,25-28
207,Jamaal Charles\CharJa00,2013,27,3-73,KAN,NFL,15,15,259,1287,4.97,12,85.8,Jamaal Charles,JamaalCharles27KAN2013,3,147,25-28
208,Ahman Green\GreeAh00,2004,27,3-76,GNB,NFL,15,15,259,1163,4.49,7,77.5,Ahman Green,AhmanGreen27GNB2004,3,150,25-28
209,Willis McGahee\McGaWi00,2006,25,1-23,BUF,NFL,14,14,259,990,3.82,6,70.7,Willis McGahee,WillisMcGahee25BUF2006,1,90,25-28
210,Matt Forte\FortMa00,2009,24,2-44,CHI,NFL,16,16,258,929,3.6,4,58.1,Matt Forte,MattForte24CHI2009,2,122,< 24
211,Charlie Garner\GarnCh00,2000,28,2-42,SFO,NFL,16,15,258,1142,4.43,7,71.4,Charlie Garner,CharlieGarner28SFO2000,2,120,25-28
212,Frank Gore\GoreFr00,2012,29,3-65,SFO,NFL,16,16,258,1214,4.71,8,75.9,Frank Gore,FrankGore29SFO2012,3,142,29-32
213,Steven Jackson\JackSt00,2012,29,1-24,STL,NFL,16,16,258,1045,4.05,4,65.3,Steven Jackson,StevenJackson29STL2012,1,96,29-32
214,Julius Jones\JoneJu01,2005,24,2-43,DAL,NFL,13,12,257,993,3.86,5,76.4,Julius Jones,JuliusJones24DAL2005,2,121,< 24
215,Ray Rice\RiceRa00,2012,25,2-55,BAL,NFL,16,16,257,1143,4.45,9,71.4,Ray Rice,RayRice25BAL2012,2,132,25-28
216,Michael Bush\BushMi00,2011,27,4-100,OAK,NFL,16,9,256,977,3.82,7,61.1,Michael Bush,MichaelBush27OAK2011,4,3,25-28
217,Michael Bennett\BennMi00,2002,24,1-27,MIN,NFL,16,16,255,1296,5.08,5,81,Michael Bennett,MichaelBennett24MIN2002,1,106,< 24
218,Frank Gore\GoreFr00,2014,31,3-65,SFO,NFL,16,16,255,1106,4.34,4,69.1,Frank Gore,FrankGore31SFO2014,3,142,29-32
219,Willie Parker\ParkWi00,2005,25,NA,PIT,NFL,15,15,255,1202,4.71,4,80.1,Willie Parker,WillieParker25PIT2005,Undrafted,Undrafted,25-28
220,Melvin Gordon\GordMe00,2016,23,1-15,SDG,NFL,13,11,254,997,3.93,10,76.7,Melvin Gordon,MelvinGordon23SDG2016,1,45,< 24
221,Steven Jackson\JackSt00,2005,22,1-24,STL,NFL,15,15,254,1046,4.12,8,69.7,Steven Jackson,StevenJackson22STL2005,1,96,< 24
222,Ray Rice\RiceRa00,2009,22,2-55,BAL,NFL,16,15,254,1339,5.27,7,83.7,Ray Rice,RayRice22BAL2009,2,132,< 24
223,Emmitt Smith*\SmitEm00,2002,33,1-17,DAL,NFL,16,16,254,975,3.84,5,60.9,Emmitt Smith*,EmmittSmith*33DAL2002,1,56,32+
224,Marshall Faulk*\FaulMa00,2000,27,1-2,STL,NFL,14,14,253,1359,5.37,18,97.1,Marshall Faulk*,MarshallFaulk*27STL2000,1,79,25-28
225,Shonn Greene\GreeSh00,2011,26,3-65,NYJ,NFL,16,15,253,1054,4.17,6,65.9,Shonn Greene,ShonnGreene26NYJ2011,3,142,25-28
226,Steven Jackson\JackSt00,2008,25,1-24,STL,NFL,12,11,253,1042,4.12,7,86.8,Steven Jackson,StevenJackson25STL2008,1,96,25-28
227,Shaun Alexander\AlexSh00,2006,29,1-19,SEA,NFL,10,10,252,896,3.56,7,89.6,Shaun Alexander,ShaunAlexander29SEA2006,1,71,29-32
228,Garrison Hearst\HearGa00,2001,30,1-3,SFO,NFL,16,16,252,1206,4.79,4,75.4,Garrison Hearst,GarrisonHearst30SFO2001,1,108,29-32
229,Jordan Howard\HowaJo00,2016,22,5-150,CHI,NFL,15,13,252,1313,5.21,6,87.5,Jordan Howard,JordanHoward22CHI2016,5,46,< 24
230,Antowain Smith\SmitAn00,2002,30,1-23,NWE,NFL,16,15,252,982,3.9,6,61.4,Antowain Smith,AntowainSmith30NWE2002,1,90,29-32
231,Chris Johnson\JohnCh04,2008,23,1-24,TEN,NFL,15,14,251,1228,4.89,9,81.9,Chris Johnson,ChrisJohnson23TEN2008,1,96,< 24
232,Jerome Bettis*\BettJe00,2004,32,1-10,PIT,NFL,15,6,250,941,3.76,13,62.7,Jerome Bettis*,JeromeBettis*32PIT2004,1,2,29-32
233,Marshawn Lynch\LyncMa00,2008,22,1-12,BUF,NFL,15,15,250,1036,4.14,8,69.1,Marshawn Lynch,MarshawnLynch22BUF2008,1,22,< 24
234,Zac Stacy\StacZa00,2013,22,5-160,STL,NFL,14,12,250,973,3.89,7,69.5,Zac Stacy,ZacStacy22STL2013,5,53,< 24
235,Willis McGahee\McGaWi00,2011,30,1-23,DEN,NFL,15,14,249,1199,4.82,4,79.9,Willis McGahee,WillisMcGahee30DEN2011,1,90,29-32
236,Warrick Dunn\DunnWa00,2000,25,1-12,TAM,NFL,16,14,248,1133,4.57,8,70.8,Warrick Dunn,WarrickDunn25TAM2000,1,22,25-28
237,Matt Forte\FortMa00,2012,27,2-44,CHI,NFL,15,15,248,1094,4.41,5,72.9,Matt Forte,MattForte27CHI2012,2,122,25-28
238,Ricky Williams\WillRi00,2000,23,1-5,NOR,NFL,10,10,248,1000,4.03,8,100,Ricky Williams,RickyWilliams23NOR2000,1,127,< 24
239,DeShaun Foster\FostDe00,2007,27,2-34,CAR,NFL,16,16,247,876,3.55,3,54.8,DeShaun Foster,DeShaunFoster27CAR2007,2,112,25-28
240,Chris Ivory\IvorCh00,2015,27,NA,NYJ,NFL,15,14,247,1070,4.33,7,71.3,Chris Ivory,ChrisIvory27NYJ2015,Undrafted,Undrafted,25-28
241,Knowshon Moreno\MoreKn00,2009,22,1-12,DEN,NFL,16,9,247,947,3.83,7,59.2,Knowshon Moreno,KnowshonMoreno22DEN2009,1,22,< 24
242,Jerome Bettis*\BettJe00,2003,31,1-10,PIT,NFL,16,10,246,811,3.3,7,50.7,Jerome Bettis*,JeromeBettis*31PIT2003,1,2,29-32
243,Eddie Lacy\LacyEd00,2014,24,2-61,GNB,NFL,16,16,246,1139,4.63,9,71.2,Eddie Lacy,EddieLacy24GNB2014,2,138,< 24
244,C.J. Anderson\AndeC.00,2017,26,NA,DEN,NFL,16,16,245,1007,4.11,3,62.9,C.J. Anderson,C.J.Anderson26DEN2017,Undrafted,Undrafted,25-28
245,Ladell Betts\BettLa00,2006,27,2-56,WAS,NFL,16,9,245,1154,4.71,4,72.1,Ladell Betts,LadellBetts27WAS2006,2,133,25-28
246,Thomas Jones\JoneTh00,2010,32,1-7,KAN,NFL,16,10,245,896,3.66,6,56,Thomas Jones,ThomasJones32KAN2010,1,145,29-32
247,Beanie Wells\WellCh00,2011,23,1-31,ARI,NFL,14,14,245,1047,4.27,10,74.8,Beanie Wells,BeanieWells23ARI2011,1,110,< 24
248,Kevan Barlow\BarlKe00,2004,25,3-80,SFO,NFL,15,14,244,822,3.37,7,54.8,Kevan Barlow,KevanBarlow25SFO2004,3,154,25-28
249,Le'Veon Bell\BellLe00,2013,21,2-48,PIT,NFL,13,13,244,860,3.52,8,66.2,Le'Veon Bell,Le'VeonBell21PIT2013,2,125,< 24
250,Deuce McAllister\McAlDe00,2006,28,1-23,NOR,NFL,15,13,244,1057,4.33,10,70.5,Deuce McAllister,DeuceMcAllister28NOR2006,1,90,25-28
251,Anthony Thomas\ThomAn01,2003,26,2-38,CHI,NFL,13,13,244,1024,4.2,6,78.8,Anthony Thomas,AnthonyThomas26CHI2003,2,116,25-28
252,William Green\GreeWi01,2002,23,1-16,CLE,NFL,16,10,243,887,3.65,6,55.4,William Green,WilliamGreen23CLE2002,1,52,< 24
253,Ezekiel Elliott\ElliEz00,2017,22,1-4,DAL,NFL,10,10,242,983,4.06,7,98.3,Ezekiel Elliott,EzekielElliott22DAL2017,1,118,< 24
254,Rashard Mendenhall\MendRa00,2009,22,1-23,PIT,NFL,16,12,242,1108,4.58,7,69.3,Rashard Mendenhall,RashardMendenhall22PIT2009,1,90,< 24
255,Jonathan Stewart\StewJo00,2015,28,1-13,CAR,NFL,13,13,242,989,4.09,6,76.1,Jonathan Stewart,JonathanStewart28CAR2015,1,29,25-28
256,Ronnie Brown\BrowRo05,2006,25,1-2,MIA,NFL,13,12,241,1008,4.18,5,77.5,Ronnie Brown,RonnieBrown25MIA2006,1,79,25-28
257,Kevin Jones\JoneKe02,2004,22,1-30,DET,NFL,15,14,241,1133,4.7,5,75.5,Kevin Jones,KevinJones22DET2004,1,109,< 24
258,Knowshon Moreno\MoreKn00,2013,26,1-12,DEN,NFL,16,15,241,1038,4.31,10,64.9,Knowshon Moreno,KnowshonMoreno26DEN2013,1,22,25-28
259,Michael Pittman\PittMi00,2001,26,4-95,ARI,NFL,15,14,241,846,3.51,5,56.4,Michael Pittman,MichaelPittman26ARI2001,4,166,25-28
260,Ricky Williams\WillRi00,2009,32,1-5,MIA,NFL,16,7,241,1121,4.65,11,70.1,Ricky Williams,RickyWilliams32MIA2009,1,127,29-32
261,Frank Gore\GoreFr00,2008,25,3-65,SFO,NFL,14,14,240,1036,4.32,6,74,Frank Gore,FrankGore25SFO2008,3,142,25-28
262,Carlos Hyde\HydeCa00,2017,27,2-57,SFO,NFL,16,16,240,938,3.91,8,58.6,Carlos Hyde,CarlosHyde27SFO2017,2,134,25-28
263,Thomas Jones\JoneTh00,2004,26,1-7,CHI,NFL,14,14,240,948,3.95,7,67.7,Thomas Jones,ThomasJones26CHI2004,1,145,25-28
264,Brian Westbrook\WestBr00,2006,27,3-91,PHI,NFL,15,14,240,1217,5.07,7,81.1,Brian Westbrook,BrianWestbrook27PHI2006,3,163,25-28
265,Mike Anderson\AndeMi00,2005,32,6-189,DEN,NFL,15,15,239,1014,4.24,12,67.6,Mike Anderson,MikeAnderson32DEN2005,6,70,29-32
266,Darren McFadden\McFaDa00,2015,28,1-4,DAL,NFL,16,10,239,1089,4.56,3,68.1,Darren McFadden,DarrenMcFadden28DAL2015,1,118,25-28
267,Marion Barber\BarbMa01,2008,25,4-109,DAL,NFL,15,13,238,885,3.72,7,59,Marion Barber,MarionBarber25DAL2008,4,12,25-28
268,Lamar Miller\MillLa01,2017,26,4-97,HOU,NFL,16,13,238,888,3.73,3,55.5,Lamar Miller,LamarMiller26HOU2017,4,168,25-28
269,Adrian Peterson\PeteAd01,2007,22,1-7,MIN,NFL,14,9,238,1341,5.63,12,95.8,Adrian Peterson,AdrianPeterson22MIN2007,1,145,< 24
270,Kevin Smith\SmitKe02,2008,22,3-64,DET,NFL,16,12,238,976,4.1,8,61,Kevin Smith,KevinSmith22DET2008,3,141,< 24
271,Domanick Williams\DaviDo01,2003,23,4-101,HOU,NFL,14,10,238,1031,4.33,8,73.6,Domanick Williams,DomanickWilliams23HOU2003,4,4,< 24
272,Matt Forte\FortMa00,2010,25,2-44,CHI,NFL,16,16,237,1069,4.51,6,66.8,Matt Forte,MattForte25CHI2010,2,122,25-28
273,Fred Jackson\JackFr02,2009,28,NA,BUF,NFL,16,11,237,1062,4.48,2,66.4,Fred Jackson,FredJackson28BUF2009,Undrafted,Undrafted,25-28
274,Steven Jackson\JackSt00,2007,24,1-24,STL,NFL,12,12,237,1002,4.23,5,83.5,Steven Jackson,StevenJackson24STL2007,1,96,< 24
275,Maurice Smith\SmitMa00,2001,25,NA,ATL,NFL,16,12,237,760,3.21,5,47.5,Maurice Smith,MauriceSmith25ATL2001,Undrafted,Undrafted,25-28
276,Justin Forsett\ForsJu00,2014,29,7-233,BAL,NFL,16,14,235,1266,5.39,8,79.1,Justin Forsett,JustinForsett29BAL2014,7,92,29-32
277,Jamal Lewis\LewiJa00,2004,25,1-5,BAL,NFL,12,12,235,1006,4.28,7,83.8,Jamal Lewis,JamalLewis25BAL2004,1,127,25-28
278,Maurice Jones-Drew\DrewMa00,2013,28,2-60,JAX,NFL,15,15,234,803,3.43,5,53.5,Maurice Jones-Drew,MauriceJones-Drew28JAX2013,2,137,25-28
279,LeSean McCoy\McCoLe01,2016,28,2-53,BUF,NFL,15,15,234,1267,5.41,13,84.5,LeSean McCoy,LeSeanMcCoy28BUF2016,2,130,25-28
280,Tatum Bell\BellTa00,2006,25,2-41,DEN,NFL,13,13,233,1025,4.4,2,78.8,Tatum Bell,TatumBell25DEN2006,2,119,25-28
281,Dominic Rhodes\RhodDo00,2001,22,NA,IND,NFL,15,10,233,1104,4.74,9,73.6,Dominic Rhodes,DominicRhodes22IND2001,Undrafted,Undrafted,< 24
282,Brian Westbrook\WestBr00,2008,29,3-91,PHI,NFL,14,14,233,936,4.02,9,66.9,Brian Westbrook,BrianWestbrook29PHI2008,3,163,29-32
283,Le'Ron McClain\McClLe00,2008,24,4-137,BAL,NFL,16,16,232,902,3.89,10,56.4,Le'Ron McClain,Le'RonMcClain24BAL2008,4,35,< 24
284,Tyrone Wheatley\WheaTy00,2000,28,1-17,OAK,NFL,14,13,232,1046,4.51,9,74.7,Tyrone Wheatley,TyroneWheatley28OAK2000,1,56,25-28
285,James Stewart\StewJa00,2002,31,1-19,DET,NFL,14,9,231,1021,4.42,4,72.9,James Stewart,JamesStewart31DET2002,1,71,29-32
286,Fred Taylor\TaylFr00,2006,30,1-9,JAX,NFL,15,15,231,1146,4.96,5,76.4,Fred Taylor,FredTaylor30JAX2006,1,162,29-32
287,Jamaal Charles\CharJa00,2010,24,3-73,KAN,NFL,16,6,230,1467,6.38,5,91.7,Jamaal Charles,JamaalCharles24KAN2010,3,147,< 24
288,Warrick Dunn\DunnWa00,2002,27,1-12,ATL,NFL,15,14,230,927,4.03,7,61.8,Warrick Dunn,WarrickDunn27ATL2002,1,22,25-28
289,Mark Ingram\IngrMa01,2017,28,1-28,NOR,NFL,16,13,230,1124,4.89,12,70.3,Mark Ingram,MarkIngram28NOR2017,1,107,25-28
290,Domanick Williams\DaviDo01,2005,25,4-101,HOU,NFL,11,11,230,976,4.24,2,88.7,Domanick Williams,DomanickWilliams25HOU2005,4,4,25-28
291,Frank Gore\GoreFr00,2009,26,3-65,SFO,NFL,14,14,229,1120,4.89,10,80,Frank Gore,FrankGore26SFO2009,3,142,25-28
292,BenJarvus Green-Ellis\GreeBe00,2010,25,NA,NWE,NFL,16,11,229,1008,4.4,13,63,BenJarvus Green-Ellis,BenJarvusGreen-Ellis25NWE2010,Undrafted,Undrafted,25-28
293,Todd Gurley\GurlTo01,2015,21,1-10,STL,NFL,13,12,229,1106,4.83,10,85.1,Todd Gurley,ToddGurley21STL2015,1,2,< 24
294,Ron Dayne\DaynRo00,2000,22,1-11,NYG,NFL,16,4,228,770,3.38,5,48.1,Ron Dayne,RonDayne22NYG2000,1,13,< 24
295,Rashard Mendenhall\MendRa00,2011,24,1-23,PIT,NFL,15,15,228,928,4.07,9,61.9,Rashard Mendenhall,RashardMendenhall24PIT2011,1,90,< 24
296,Marcel Shipp\ShipMa00,2003,25,NA,ARI,NFL,16,11,228,830,3.64,0,51.9,Marcel Shipp,MarcelShipp25ARI2003,Undrafted,Undrafted,25-28
297,Reggie Bush\BushRe00,2012,27,1-2,MIA,NFL,16,16,227,986,4.34,6,61.6,Reggie Bush,ReggieBush27MIA2012,1,79,25-28
298,Warrick Dunn\DunnWa00,2007,32,1-12,ATL,NFL,16,15,227,720,3.17,4,45,Warrick Dunn,WarrickDunn32ATL2007,1,22,29-32
299,DeShaun Foster\FostDe00,2006,26,2-34,CAR,NFL,14,14,227,897,3.95,3,64.1,DeShaun Foster,DeShaunFoster26CAR2006,2,112,25-28
300,Devonta Freeman\FreeDe00,2016,24,4-103,ATL,NFL,16,16,227,1079,4.75,11,67.4,Devonta Freeman,DevontaFreeman24ATL2016,4,6,< 24
301,Joseph Addai\AddaJo00,2006,23,1-30,IND,NFL,16,0,226,1081,4.78,7,67.6,Joseph Addai,JosephAddai23IND2006,1,109,< 24
302,Mark Ingram\IngrMa01,2014,25,1-28,NOR,NFL,13,9,226,964,4.27,9,74.2,Mark Ingram,MarkIngram25NOR2014,1,107,25-28
303,Jerome Bettis*\BettJe00,2001,29,1-10,PIT,NFL,11,11,225,1072,4.76,4,97.5,Jerome Bettis*,JeromeBettis*29PIT2001,1,2,29-32
304,Cadillac Williams\WillCa02,2006,24,1-5,TAM,NFL,14,14,225,798,3.55,1,57,Cadillac Williams,CadillacWilliams24TAM2006,1,127,< 24
305,Chris Brown\BrowCh03,2005,24,3-93,TEN,NFL,15,14,224,851,3.8,5,56.7,Chris Brown,ChrisBrown24TEN2005,3,164,< 24
306,Brandon Jacobs\JacoBr00,2009,27,4-110,NYG,NFL,15,15,224,835,3.73,5,55.7,Brandon Jacobs,BrandonJacobs27NYG2009,4,14,25-28
307,Joique Bell\BellJo01,2014,28,NA,DET,NFL,15,6,223,860,3.86,7,57.3,Joique Bell,JoiqueBell28DET2014,Undrafted,Undrafted,25-28
308,Reggie Bush\BushRe00,2013,28,1-2,DET,NFL,14,14,223,1006,4.51,4,71.9,Reggie Bush,ReggieBush28DET2013,1,79,25-28
309,Jeremy Hill\HillJe01,2015,23,2-55,CIN,NFL,16,15,223,794,3.56,11,49.6,Jeremy Hill,JeremyHill23CIN2015,2,132,< 24
310,Darren McFadden\McFaDa00,2010,23,1-4,OAK,NFL,13,13,223,1157,5.19,7,89,Darren McFadden,DarrenMcFadden23OAK2010,1,118,< 24
311,Fred Taylor\TaylFr00,2007,31,1-9,JAX,NFL,15,15,223,1202,5.39,5,80.1,Fred Taylor,FredTaylor31JAX2007,1,162,29-32
312,LaDainian Tomlinson*\TomlLa00,2009,30,1-5,SDG,NFL,14,14,223,730,3.27,12,52.1,LaDainian Tomlinson*,LaDainianTomlinson*30SDG2009,1,127,29-32
313,Justin Fargas\FargJu00,2007,27,3-96,OAK,NFL,14,7,222,1009,4.55,4,72.1,Justin Fargas,JustinFargas27OAK2007,3,167,25-28
314,Earnest Graham\GrahEa00,2007,27,NA,TAM,NFL,15,10,222,898,4.05,10,59.9,Earnest Graham,EarnestGraham27TAM2007,Undrafted,Undrafted,25-28
315,Jeremy Hill\HillJe01,2014,22,2-55,CIN,NFL,16,8,222,1124,5.06,9,70.3,Jeremy Hill,JeremyHill22CIN2014,2,132,< 24
316,Jeremy Hill\HillJe01,2016,24,2-55,CIN,NFL,15,13,222,839,3.78,9,55.9,Jeremy Hill,JeremyHill24CIN2016,2,132,< 24
317,Fred Jackson\JackFr02,2010,29,NA,BUF,NFL,16,13,222,927,4.18,5,57.9,Fred Jackson,FredJackson29BUF2010,Undrafted,Undrafted,29-32
318,Ryan Mathews\MathRy00,2011,24,1-12,SDG,NFL,14,14,222,1091,4.91,6,77.9,Ryan Mathews,RyanMathews24SDG2011,1,22,< 24
319,Michael Turner\TurnMi00,2012,30,5-154,ATL,NFL,16,16,222,800,3.6,10,50,Michael Turner,MichaelTurner30ATL2012,5,49,29-32
320,Ahmad Bradshaw\BradAh00,2012,26,7-250,NYG,NFL,14,12,221,1015,4.59,6,72.5,Ahmad Bradshaw,AhmadBradshaw26NYG2012,7,102,25-28
321,Jonathan Stewart\StewJo00,2009,22,1-13,CAR,NFL,16,3,221,1133,5.13,10,70.8,Jonathan Stewart,JonathanStewart22CAR2009,1,29,< 24
322,Chris Brown\BrowCh03,2004,23,3-93,TEN,NFL,11,11,220,1067,4.85,6,97,Chris Brown,ChrisBrown23TEN2004,3,164,< 24
323,Reuben Droughns\DrouRe00,2006,28,3-81,CLE,NFL,14,12,220,758,3.45,4,54.1,Reuben Droughns,ReubenDroughns28CLE2006,3,155,25-28
324,BenJarvus Green-Ellis\GreeBe00,2013,28,NA,CIN,NFL,16,16,220,756,3.44,7,47.3,BenJarvus Green-Ellis,BenJarvusGreen-Ellis28CIN2013,Undrafted,Undrafted,25-28
325,Curtis Martin*\MartCu00,2005,32,3-74,NYJ,NFL,12,12,220,735,3.34,5,61.3,Curtis Martin*,CurtisMartin*32NYJ2005,3,148,29-32
326,Joseph Addai\AddaJo00,2009,26,1-30,IND,NFL,15,15,219,828,3.78,10,55.2,Joseph Addai,JosephAddai26IND2009,1,109,25-28
327,Brandon Jacobs\JacoBr00,2008,26,4-110,NYG,NFL,13,13,219,1089,4.97,15,83.8,Brandon Jacobs,BrandonJacobs26NYG2008,4,14,25-28
328,Michael Pittman\PittMi00,2004,29,4-95,TAM,NFL,13,13,219,926,4.23,7,71.2,Michael Pittman,MichaelPittman29TAM2004,4,166,29-32
