Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,name,key,Round,Pick,ageGroup
38,LaDainian Tomlinson*\TomlLa00,2001,22,1-5,SDG,NFL,16,16,339,1236,3.65,10,77.3,LaDainian Tomlinson*,LaDainianTomlinson*22SDG2001,1,127,< 24
39,Edgerrin James\JameEd00,2006,28,1-4,ARI,NFL,16,16,337,1159,3.44,6,72.4,Edgerrin James,EdgerrinJames28ARI2006,1,118,25-28
40,Rudi Johnson\JohnRu00,2005,26,4-100,CIN,NFL,16,14,337,1458,4.33,12,91.1,Rudi Johnson,RudiJohnson26CIN2005,4,3,25-28
41,Willie Parker\ParkWi00,2006,26,NA,PIT,NFL,16,16,337,1494,4.43,13,93.4,Willie Parker,WillieParker26PIT2006,Undrafted,Undrafted,25-28
42,Larry Johnson\JohnLa00,2005,26,1-27,KAN,NFL,16,9,336,1750,5.21,20,109.4,Larry Johnson,LarryJohnson26KAN2005,1,106,25-28
43,Alfred Morris\MorrAl00,2012,24,6-173,WAS,NFL,16,16,335,1613,4.81,13,100.8,Alfred Morris,AlfredMorris24WAS2012,6,59,< 24
44,Edgerrin James\JameEd00,2004,26,1-4,IND,NFL,16,16,334,1548,4.63,9,96.8,Edgerrin James,EdgerrinJames26IND2004,1,118,25-28
45,Michael Turner\TurnMi00,2010,28,5-154,ATL,NFL,16,15,334,1371,4.1,12,85.7,Michael Turner,MichaelTurner28ATL2010,5,49,25-28
46,Curtis Martin*\MartCu00,2001,28,3-74,NYJ,NFL,16,16,333,1513,4.54,10,94.6,Curtis Martin*,CurtisMartin*28NYJ2001,3,148,25-28
47,Stephen Davis\DaviSt00,2000,26,4-102,WAS,NFL,15,15,332,1318,3.97,11,87.9,Stephen Davis,StephenDavis26WAS2000,4,5,25-28
48,Travis Henry\HenrTr00,2003,25,2-58,BUF,NFL,15,15,331,1356,4.1,10,90.4,Travis Henry,TravisHenry25BUF2003,2,135,25-28
49,Thomas Jones\JoneTh00,2009,31,1-7,NYJ,NFL,16,16,331,1402,4.24,14,87.6,Thomas Jones,ThomasJones31NYJ2009,1,145,29-32
50,Steven Jackson\JackSt00,2010,27,1-24,STL,NFL,16,16,330,1241,3.76,6,77.6,Steven Jackson,StevenJackson27STL2010,1,96,25-28
51,Tiki Barber\BarbTi00,2006,31,2-36,NYG,NFL,16,16,327,1662,5.08,5,103.9,Tiki Barber,TikiBarber31NYG2006,2,114,29-32
52,Arian Foster\FostAr00,2010,24,NA,HOU,NFL,16,13,327,1616,4.94,16,101,Arian Foster,ArianFoster24HOU2010,Undrafted,Undrafted,< 24
53,Priest Holmes\HolmPr00,2001,28,NA,KAN,NFL,16,16,327,1555,4.76,8,97.2,Priest Holmes,PriestHolmes28KAN2001,Undrafted,Undrafted,25-28
54,Adrian Peterson\PeteAd01,2015,30,1-7,MIN,NFL,16,16,327,1485,4.54,11,92.8,Adrian Peterson,AdrianPeterson30MIN2015,1,145,29-32
55,Shaun Alexander\AlexSh00,2003,26,1-19,SEA,NFL,16,15,326,1435,4.4,14,89.7,Shaun Alexander,ShaunAlexander26SEA2003,1,71,25-28
56,Travis Henry\HenrTr00,2002,24,2-58,BUF,NFL,16,16,325,1438,4.42,13,89.9,Travis Henry,TravisHenry24BUF2002,2,135,< 24
57,Deuce McAllister\McAlDe00,2002,24,1-23,NOR,NFL,15,15,325,1388,4.27,13,92.5,Deuce McAllister,DeuceMcAllister24NOR2002,1,90,< 24
58,Willis McGahee\McGaWi00,2005,24,1-23,BUF,NFL,16,15,325,1247,3.84,5,77.9,Willis McGahee,WillisMcGahee24BUF2005,1,90,< 24
59,Clinton Portis\PortCl00,2007,26,2-51,WAS,NFL,16,16,325,1262,3.88,11,78.9,Clinton Portis,ClintonPortis26WAS2007,2,128,25-28
60,Steven Jackson\JackSt00,2009,26,1-24,STL,NFL,15,15,324,1416,4.37,4,94.4,Steven Jackson,StevenJackson26STL2009,1,96,25-28
61,Edgerrin James\JameEd00,2007,29,1-4,ARI,NFL,16,16,324,1222,3.77,7,76.4,Edgerrin James,EdgerrinJames29ARI2007,1,118,29-32
62,Rashard Mendenhall\MendRa00,2010,23,1-23,PIT,NFL,16,16,324,1273,3.93,13,79.6,Rashard Mendenhall,RashardMendenhall23PIT2010,1,90,< 24
63,Curtis Martin*\MartCu00,2003,30,3-74,NYJ,NFL,16,16,323,1308,4.05,2,81.8,Curtis Martin*,CurtisMartin*30NYJ2003,3,148,29-32
64,Tiki Barber\BarbTi00,2004,29,2-36,NYG,NFL,16,14,322,1518,4.71,13,94.9,Tiki Barber,TikiBarber29NYG2004,2,114,29-32
65,Ezekiel Elliott\ElliEz00,2016,21,1-4,DAL,NFL,15,15,322,1631,5.07,15,108.7,Ezekiel Elliott,EzekielElliott21DAL2016,1,118,< 24
66,Le'Veon Bell\BellLe00,2017,25,2-48,PIT,NFL,15,15,321,1291,4.02,9,86.1,Le'Veon Bell,Le'VeonBell25PIT2017,2,125,25-28
67,Cedric Benson\BensCe00,2010,28,1-4,CIN,NFL,16,16,321,1111,3.46,7,69.4,Cedric Benson,CedricBenson28CIN2010,1,118,25-28
68,Willie Parker\ParkWi00,2007,27,NA,PIT,NFL,15,15,321,1316,4.1,2,87.7,Willie Parker,WillieParker27PIT2007,Undrafted,Undrafted,25-28
69,Priest Holmes\HolmPr00,2003,30,NA,KAN,NFL,16,16,320,1420,4.44,27,88.8,Priest Holmes,PriestHolmes30KAN2003,Undrafted,Undrafted,29-32
70,Doug Martin\MartDo00,2012,23,1-31,TAM,NFL,16,16,319,1454,4.56,11,90.9,Doug Martin,DougMartin23TAM2012,1,110,< 24
71,Stephen Davis\DaviSt00,2003,29,4-102,CAR,NFL,14,14,318,1444,4.54,8,103.1,Stephen Davis,StephenDavis29CAR2003,4,5,29-32
72,Matt Forte\FortMa00,2008,23,2-44,CHI,NFL,16,16,316,1238,3.92,8,77.4,Matt Forte,MattForte23CHI2008,2,122,< 24
73,Chris Johnson\JohnCh04,2010,25,1-24,TEN,NFL,16,16,316,1364,4.32,11,85.3,Chris Johnson,ChrisJohnson25TEN2010,1,96,25-28
74,Curtis Martin*\MartCu00,2000,27,3-74,NYJ,NFL,16,16,316,1204,3.81,9,75.3,Curtis Martin*,CurtisMartin*27NYJ2000,3,148,25-28
75,Corey Dillon\DillCo00,2000,26,2-43,CIN,NFL,16,16,315,1435,4.56,7,89.7,Corey Dillon,CoreyDillon26CIN2000,2,121,25-28
76,Eddie George\GeorEd00,2001,28,1-14,TEN,NFL,16,16,315,939,2.98,5,58.7,Eddie George,EddieGeorge28TEN2001,1,38,25-28
