Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,name,key,Round,Pick,ageGroup
33,Kellen Winslow\WinsKe01,2007,24,1-6,CLE,NFL,16,14,148,82,1106,13.49,5,69.1,55.4%,7.47,Kellen Winslow,KellenWinslow24CLE2007,1,119,< 24
34,Antonio Gates\GateAn00,2004,24,NA,SDG,NFL,15,15,114,81,964,11.9,13,64.3,71.1%,8.46,Antonio Gates,AntonioGates24SDG2004,Undrafted,Undrafted,< 24
35,Jason Witten\WittJa00,2008,26,3-69,DAL,NFL,16,16,121,81,952,11.75,4,59.5,66.9%,7.87,Jason Witten,JasonWitten26DAL2008,4,126,25-28
36,Jordan Cameron\CameJo00,2013,25,4-102,CLE,NFL,15,14,118,80,917,11.46,7,61.1,67.8%,7.77,Jordan Cameron,JordanCameron25CLE2013,5,3,25-28
37,Jack Doyle\DoylJa00,2017,27,NA,IND,NFL,15,15,108,80,690,8.63,4,46,74.1%,6.39,Jack Doyle,JackDoyle27IND2017,Undrafted,Undrafted,25-28
38,Tony Gonzalez\GonzTo00,2011,35,1-13,ATL,NFL,16,16,116,80,875,10.94,7,54.7,69.0%,7.54,Tony Gonzalez,TonyGonzalez35ATL2011,1,23,32+
39,Greg Olsen\OlseGr00,2016,31,1-31,CAR,NFL,16,16,129,80,1073,13.41,3,67.1,62.0%,8.32,Greg Olsen,GregOlsen31CAR2016,1,97,29-32
40,Gary Barnidge\BarnGa01,2015,30,5-141,CLE,NFL,16,13,125,79,1043,13.2,9,65.2,63.2%,8.34,Gary Barnidge,GaryBarnidge30CLE2015,6,30,29-32
41,Antonio Gates\GateAn00,2009,29,NA,SDG,NFL,16,16,114,79,1157,14.65,8,72.3,69.3%,10.15,Antonio Gates,AntonioGates29SDG2009,Undrafted,Undrafted,29-32
42,Aaron Hernandez\HernAa00,2011,22,4-113,NWE,NFL,14,12,113,79,910,11.52,7,65,69.9%,8.05,Aaron Hernandez,AaronHernandez22NWE2011,5,10,< 24
43,Brandon Myers\MyerBr00,2012,27,6-202,OAK,NFL,16,16,105,79,806,10.2,4,50.4,75.2%,7.68,Brandon Myers,BrandonMyers27OAK2012,7,68,25-28
44,Jason Witten\WittJa00,2011,29,3-69,DAL,NFL,16,16,117,79,942,11.92,5,58.9,67.5%,8.05,Jason Witten,JasonWitten29DAL2011,4,126,29-32
45,Vernon Davis\DaviVe00,2009,25,1-6,SFO,NFL,16,16,128,78,965,12.37,13,60.3,60.9%,7.54,Vernon Davis,VernonDavis25SFO2009,1,119,25-28
46,Zach Ertz\ErtzZa00,2016,26,2-35,PHI,NFL,14,12,106,78,816,10.46,4,58.3,73.6%,7.7,Zach Ertz,ZachErtz26PHI2016,3,100,25-28
47,Tony Gonzalez\GonzTo00,2005,29,1-13,KAN,NFL,16,16,116,78,905,11.6,2,56.6,67.2%,7.8,Tony Gonzalez,TonyGonzalez29KAN2005,1,23,29-32
48,Dallas Clark\ClarDa00,2008,29,1-24,IND,NFL,15,15,107,77,848,11.01,6,56.5,72.0%,7.93,Dallas Clark,DallasClark29IND2008,1,85,29-32
49,Chris Cooley\CoolCh00,2010,28,3-81,WAS,NFL,16,16,126,77,849,11.03,3,53.1,61.1%,6.74,Chris Cooley,ChrisCooley28WAS2010,4,133,25-28
50,Antonio Gates\GateAn00,2013,33,NA,SDG,NFL,16,15,114,77,872,11.32,4,54.5,67.5%,7.65,Antonio Gates,AntonioGates33SDG2013,Undrafted,Undrafted,32+
51,Greg Olsen\OlseGr00,2015,30,1-31,CAR,NFL,16,16,124,77,1104,14.34,7,69,62.1%,8.9,Greg Olsen,GregOlsen30CAR2015,1,97,29-32
52,Kellen Winslow\WinsKe01,2009,26,1-6,TAM,NFL,16,14,127,77,884,11.48,5,55.3,60.6%,6.96,Kellen Winslow,KellenWinslow26TAM2009,1,119,25-28
53,Jason Witten\WittJa00,2015,33,3-69,DAL,NFL,16,16,104,77,713,9.26,3,44.6,74.0%,6.86,Jason Witten,JasonWitten33DAL2015,4,126,32+
54,Brent Celek\CeleBr00,2009,24,5-162,PHI,NFL,16,15,112,76,971,12.78,8,60.7,67.9%,8.67,Brent Celek,BrentCelek24PHI2009,6,45,< 24
55,Heath Miller\MillHe00,2009,27,1-30,PIT,NFL,16,16,98,76,789,10.38,6,49.3,77.6%,8.05,Heath Miller,HeathMiller27PIT2009,1,96,25-28
56,Zach Ertz\ErtzZa00,2015,25,2-35,PHI,NFL,15,7,112,75,853,11.37,2,56.9,67.0%,7.62,Zach Ertz,ZachErtz25PHI2015,3,100,25-28
57,Antonio Gates\GateAn00,2007,27,NA,SDG,NFL,16,16,117,75,984,13.12,9,61.5,64.1%,8.41,Antonio Gates,AntonioGates27SDG2007,Undrafted,Undrafted,25-28
58,Todd Heap\HeapTo00,2005,25,1-31,BAL,NFL,16,16,114,75,855,11.4,7,53.4,65.8%,7.5,Todd Heap,ToddHeap25BAL2005,1,97,25-28
59,Kellen Winslow\WinsKe01,2011,28,1-6,TAM,NFL,16,15,123,75,763,10.17,2,47.7,61.0%,6.2,Kellen Winslow,KellenWinslow28TAM2011,1,119,25-28
60,Zach Ertz\ErtzZa00,2017,27,2-35,PHI,NFL,14,13,110,74,824,11.14,8,58.9,67.3%,7.49,Zach Ertz,ZachErtz27PHI2017,3,100,25-28
61,Jeremy Shockey\ShocJe00,2002,22,1-14,NYG,NFL,15,14,128,74,894,12.08,2,59.6,57.8%,6.98,Jeremy Shockey,JeremyShockey22NYG2002,1,29,< 24
62,Delanie Walker\WalkHu00,2017,33,6-175,TEN,NFL,16,11,111,74,807,10.91,3,50.4,66.7%,7.27,Delanie Walker,DelanieWalker33TEN2017,7,51,32+
63,Ben Watson\WatsBe00,2015,35,1-32,NOR,NFL,16,16,110,74,825,11.15,6,51.6,67.3%,7.5,Ben Watson,BenWatson35NOR2015,1,98,32+
64,Tony Gonzalez\GonzTo00,2006,30,1-13,KAN,NFL,15,15,104,73,900,12.33,5,60,70.2%,8.65,Tony Gonzalez,TonyGonzalez30KAN2006,1,23,29-32
65,Tony Gonzalez\GonzTo00,2001,25,1-13,KAN,NFL,16,16,118,73,917,12.56,6,57.3,61.9%,7.77,Tony Gonzalez,TonyGonzalez25KAN2001,1,23,25-28
66,Todd Heap\HeapTo00,2006,26,1-31,BAL,NFL,16,16,116,73,765,10.48,6,47.8,62.9%,6.59,Todd Heap,ToddHeap26BAL2006,1,97,25-28
67,Randy McMichael\McMiRa01,2004,25,4-114,MIA,NFL,16,16,118,73,791,10.84,4,49.4,61.9%,6.7,Randy McMichael,RandyMcMichael25MIA2004,5,11,25-28
68,Greg Olsen\OlseGr00,2013,28,1-31,CAR,NFL,16,16,111,73,816,11.18,6,51,65.8%,7.35,Greg Olsen,GregOlsen28CAR2013,1,97,25-28
69,Shannon Sharpe*\SharSh00,2001,33,7-192,BAL,NFL,16,15,114,73,811,11.11,2,50.7,64.0%,7.11,Shannon Sharpe*,ShannonSharpe*33BAL2001,8,61,32+
70,Jason Witten\WittJa00,2013,31,3-69,DAL,NFL,16,16,111,73,851,11.66,8,53.2,65.8%,7.67,Jason Witten,JasonWitten31DAL2013,4,126,29-32
71,Rob Gronkowski\GronRo00,2015,26,2-42,NWE,NFL,15,15,120,72,1176,16.33,11,78.4,60.0%,9.8,Rob Gronkowski,RobGronkowski26NWE2015,3,105,25-28
72,Travis Kelce\KelcTr00,2015,26,3-63,KAN,NFL,16,16,103,72,875,12.15,5,54.7,69.9%,8.5,Travis Kelce,TravisKelce26KAN2015,4,121,25-28
73,Antonio Gates\GateAn00,2006,26,NA,SDG,NFL,16,16,120,71,924,13.01,9,57.8,59.2%,7.7,Antonio Gates,AntonioGates26SDG2006,Undrafted,Undrafted,25-28
