Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,name,key,Round,Pick,ageGroup
33,Larry Fitzgerald\FitzLa00,2016,33,1-3,ARI,NFL,16,16,150,107,1023,9.56,6,63.9,71.3%,6.82,Larry Fitzgerald,LarryFitzgerald33ARI2016,1,101,32+
34,Steve Smith\SmitSt02,2009,24,2-51,NYG,NFL,16,15,157,107,1220,11.4,7,76.3,68.2%,7.77,Steve Smith,SteveSmith24NYG2009,3,125,< 24
35,Antonio Brown\BrowAn04,2016,28,6-195,PIT,NFL,15,15,154,106,1284,12.11,12,85.6,68.8%,8.34,Antonio Brown,AntonioBrown28PIT2016,7,68,25-28
36,Keyshawn Johnson\JohnKe00,2001,29,1-1,TAM,NFL,15,15,180,106,1266,11.94,1,84.4,58.9%,7.03,Keyshawn Johnson,KeyshawnJohnson29TAM2001,1,1,29-32
37,Randy Moss*\MossRa00,2002,25,1-21,MIN,NFL,16,16,185,106,1347,12.71,7,84.2,57.3%,7.28,Randy Moss*,RandyMoss*25MIN2002,1,76,25-28
38,Reggie Wayne\WaynRe00,2012,34,1-30,IND,NFL,16,15,195,106,1355,12.78,5,84.7,54.4%,6.95,Reggie Wayne,ReggieWayne34IND2012,1,102,32+
39,Julian Edelman\EdelJu00,2013,27,7-232,NWE,NFL,16,11,151,105,1056,10.06,6,66,69.5%,6.99,Julian Edelman,JulianEdelman27NWE2013,8,84,25-28
40,Demaryius Thomas\ThomDe03,2015,28,1-22,DEN,NFL,16,16,177,105,1304,12.42,6,81.5,59.3%,7.37,Demaryius Thomas,DemaryiusThomas28DEN2015,1,79,25-28
41,Julio Jones\JoneJu02,2014,25,1-6,ATL,NFL,15,15,163,104,1593,15.32,6,106.2,63.8%,9.77,Julio Jones,JulioJones25ATL2014,1,134,25-28
42,Brandon Marshall\MarsBr00,2008,24,4-119,DEN,NFL,15,15,181,104,1265,12.16,6,84.3,57.5%,6.99,Brandon Marshall,BrandonMarshall24DEN2008,5,18,< 24
43,Michael Thomas\ThomMi05,2017,24,2-47,NOR,NFL,16,14,149,104,1245,11.97,5,77.8,69.8%,8.36,Michael Thomas,MichaelThomas24NOR2017,3,120,< 24
44,Reggie Wayne\WaynRe00,2007,29,1-30,IND,NFL,16,16,156,104,1510,14.52,10,94.4,66.7%,9.68,Reggie Wayne,ReggieWayne29IND2007,1,102,29-32
45,Larry Fitzgerald\FitzLa00,2005,22,1-3,ARI,NFL,16,16,165,103,1409,13.68,10,88.1,62.4%,8.54,Larry Fitzgerald,LarryFitzgerald22ARI2005,1,101,< 24
46,Andre Johnson\JohnAn02,2006,25,1-3,HOU,NFL,16,16,163,103,1147,11.14,5,71.7,63.2%,7.04,Andre Johnson,AndreJohnson25HOU2006,1,101,25-28
47,Derrick Mason\MasoDe00,2007,33,4-98,BAL,NFL,16,16,164,103,1087,10.55,5,67.9,62.8%,6.63,Derrick Mason,DerrickMason33BAL2007,5,174,32+
48,Steve Smith\SmitSt01,2005,26,3-74,CAR,NFL,16,16,150,103,1563,15.17,12,97.7,68.7%,10.42,Steve Smith,SteveSmith26CAR2005,4,149,25-28
49,Keenan Allen\AlleKe00,2017,25,3-76,LAC,NFL,16,15,159,102,1393,13.66,6,87.1,64.2%,8.76,Keenan Allen,KeenanAllen25LAC2017,4,151,25-28
50,Anquan Boldin\BoldAn00,2005,25,2-54,ARI,NFL,14,14,171,102,1402,13.75,7,100.1,59.6%,8.2,Anquan Boldin,AnquanBoldin25ARI2005,3,128,25-28
51,Marvin Harrison*\HarrMa00,2000,28,1-19,IND,NFL,16,16,169,102,1413,13.85,14,88.3,60.4%,8.36,Marvin Harrison*,MarvinHarrison*28IND2000,1,62,25-28
52,Torry Holt\HoltTo00,2005,29,1-6,STL,NFL,14,14,163,102,1331,13.05,9,95.1,62.6%,8.17,Torry Holt,TorryHolt29STL2005,1,134,29-32
53,Brandon Marshall\MarsBr00,2007,23,4-119,DEN,NFL,16,16,170,102,1325,12.99,7,82.8,60.0%,7.79,Brandon Marshall,BrandonMarshall23DEN2007,5,18,< 24
54,Muhsin Muhammad\MuhaMu00,2000,27,2-43,CAR,NFL,16,16,156,102,1183,11.6,6,73.9,65.4%,7.58,Muhsin Muhammad,MuhsinMuhammad27CAR2000,3,116,25-28
55,Odell Beckham\BeckOd00,2016,24,1-12,NYG,NFL,16,16,169,101,1367,13.53,10,85.4,59.8%,8.09,Odell Beckham,OdellBeckham24NYG2016,1,19,< 24
56,Anquan Boldin\BoldAn00,2003,23,2-54,ARI,NFL,16,16,165,101,1377,13.63,8,86.1,61.2%,8.35,Anquan Boldin,AnquanBoldin23ARI2003,3,128,< 24
57,Antonio Brown\BrowAn04,2017,29,6-195,PIT,NFL,14,14,163,101,1533,15.18,9,109.5,62.0%,9.4,Antonio Brown,AntonioBrown29PIT2017,7,68,29-32
58,Troy Brown\BrowTr00,2001,30,8-198,NWE,NFL,16,13,142,101,1199,11.87,5,74.9,71.1%,8.44,Troy Brown,TroyBrown30NWE2001,9,70,29-32
59,Andre Johnson\JohnAn02,2009,28,1-3,HOU,NFL,16,16,171,101,1569,15.53,9,98.1,59.1%,9.18,Andre Johnson,AndreJohnson28HOU2009,1,101,25-28
60,Brandon Marshall\MarsBr00,2009,25,4-119,DEN,NFL,15,13,154,101,1120,11.09,10,74.7,65.6%,7.27,Brandon Marshall,BrandonMarshall25DEN2009,5,18,25-28
61,Ed McCaffrey\McCaEd00,2000,32,3-83,DEN,NFL,16,16,149,101,1317,13.04,9,82.3,67.8%,8.84,Ed McCaffrey,EdMcCaffrey32DEN2000,4,159,29-32
62,Emmanuel Sanders\SandEm00,2014,27,3-82,DEN,NFL,16,16,141,101,1404,13.9,9,87.8,71.6%,9.96,Emmanuel Sanders,EmmanuelSanders27DEN2014,4,158,25-28
63,Marty Booker\BookMa00,2001,25,3-78,CHI,NFL,16,16,157,100,1071,10.71,8,66.9,63.7%,6.82,Marty Booker,MartyBooker25CHI2001,4,153,25-28
64,Larry Fitzgerald\FitzLa00,2007,24,1-3,ARI,NFL,15,15,167,100,1409,14.09,10,93.9,59.9%,8.44,Larry Fitzgerald,LarryFitzgerald24ARI2007,1,101,< 24
65,Brandon Marshall\MarsBr00,2013,29,4-119,CHI,NFL,16,16,164,100,1295,12.95,12,80.9,61.0%,7.9,Brandon Marshall,BrandonMarshall29CHI2013,5,18,29-32
